datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind,x,y,x_anom,y_anom,x_tide,y_tide,x_notide,y_notide,u_tides,v_tides
2020-07-12 03:00:00,ASFS30UCB3,1.25312,81.53461,-0.1884704166221026,0.0923797367562967,0.2098931006604829,-1501.8436074108029,-8.645000457763672,-1.3630000352859497,663625.16817632,-635213.6434075661,,,,,,,,
2020-07-12 04:00:00,ASFS30UCB3,1.2203,81.53777,-0.1117174383230109,0.0837746445525786,0.139638737803543,-1522.9179617852487,-8.027999877929688,-1.162999987602234,663012.7465848292,-635355.5874655811,,,,,,,,
2020-07-12 05:00:00,ASFS30UCB3,1.20294,81.54015,-0.0558655129262695,0.0535358918231716,0.0773760120955941,-1539.5570435841728,-7.461999893188477,-1.1950000524520874,662633.1403999056,-635377.0688139327,,,,,,,,
2020-07-12 06:00:00,ASFS30UCB3,1.1952,81.54131,-0.0329557142423815,0.0172416645652304,0.0371934684885052,-1545.6521789111362,-7.006999969482422,-1.1890000104904177,662456.1373139335,-635379.1384502697,,,,,,,,
2020-07-12 07:00:00,ASFS30UCB3,1.18813,81.54129,-0.0381190042728297,-0.0201145073204108,0.0431004859774791,-1545.9363811297649,-6.728000164031982,-1.287999987602234,662379.3014246866,-635462.3849971028,,,,,,,,
2020-07-12 08:00:00,ASFS30UCB3,1.17807,81.53998,-0.0611608780379222,-0.0518729605369714,0.0801963654864719,-1541.7044467608828,-6.620999813079834,-1.4299999475479126,662370.6406183864,-635677.4520253977,,,,,,,,
2020-07-12 09:00:00,ASFS30UCB3,1.16065,81.53786,-0.0955010894878704,-0.0685072298186505,0.1175316920272809,-1532.9487468821098,-7.125999927520752,-1.0440000295639038,662343.8566735594,-636038.7099075726,,,,,,,,
2020-07-12 10:00:00,ASFS30UCB3,1.13517,81.53545,-0.1251146503361512,-0.0685084133315268,0.1426431856975324,-1521.0917868412926,-7.468999862670898,-1.1959999799728394,662250.1519724856,-636515.0585101084,,,,,,,,
2020-07-12 11:00:00,ASFS30UCB3,1.10446,81.53333,-0.1396618018237252,-0.0547493596097573,0.1500097039072073,-1510.7339562014863,-7.40399980545044,-0.6019999980926514,662075.2505247481,-637029.9935614384,,,,,,,,
2020-07-12 12:00:00,ASFS30UCB3,1.07246,81.53183,-0.1357196583444848,-0.0350926953102101,0.1401831763275427,-1500.0079838757754,-6.736000061035156,-0.1780000030994415,661837.0069867838,-637512.9874358521,,,,,,,,
2020-07-12 13:00:00,ASFS30UCB3,1.04353,81.53101,-0.1136357644484436,-0.0187613132164929,0.1151741022773328,-1498.3810480952066,-6.104000091552734,-0.2380000054836273,661579.3082439702,-637909.0645680034,,,,,,,,
2020-07-12 14:00:00,ASFS30UCB3,1.02145,81.53059,-0.0832329863214059,-0.0102896834740217,0.083866605976246,-1497.5257767085736,-5.611999988555908,-0.3120000064373016,661366.3411729932,-638195.7283232723,,,,,,,,
2020-07-12 15:00:00,ASFS30UCB3,1.00617,81.53033,-0.0553870637147476,-0.0086237949001387,0.0560544080819802,-1496.490959409211,-5.375999927520752,-0.2440000027418136,661216.4885976724,-638391.74885627,,,,,,,,
2020-07-12 16:00:00,ASFS30UCB3,0.99659,81.53002,-0.0320835282813679,-0.0090761147296522,0.0333425950634792,-1495.0193388818486,-4.960999965667725,0.006000000052154,661134.0208411411,-638525.7488598205,,,,,,,,
2020-07-12 17:00:00,ASFS30UCB3,0.99177,81.52973,-0.0187385774946385,-0.0105874515981022,0.0215227418760885,-1493.836726686022,-4.676000118255615,0.3000000119209289,661103.0163839415,-638603.3051601165,,,,,,,,
2020-07-12 18:00:00,ASFS30UCB3,0.98818,81.52932,-0.0172246984930968,-0.0175445151358933,0.0245865867808381,-1492.117600679591,-3.994999885559082,0.363999992609024,661095.1125670975,-638675.7485511304,,,,,,,,
2020-07-12 19:00:00,ASFS30UCB3,0.98404,81.52857,-0.0314685464452323,-0.0335751655721124,0.0460169659861502,-1489.0300389649203,-3.6029999256134033,0.4090000092983246,661107.6972238483,-638780.2666889116,,,,,,,,
2020-07-12 20:00:00,ASFS30UCB3,0.97406,81.5271,-0.0568831411751227,-0.049757485673772,0.0755744608351563,-1484.2085937372517,-3.309999942779541,0.5580000281333923,661111.5232483944,-639006.6640388303,-84.41689566418063,116.51241954183206,-372.72314791473235,117.94667226284481,288.3062522505517,-1.4342527210127543,,
2020-07-12 21:00:00,ASFS30UCB3,0.95852,81.52528,-0.073345441782543,-0.0567165590242657,0.092716351836283,-1479.0137960605782,-3.062000036239624,0.6660000085830688,661080.6541397109,-639323.7303827557,-65.41975547117181,14.459744377993047,-260.14438143964907,142.88851717352964,194.72462596847726,-128.4287727955366,0.03552435915877406,-0.005852845916452696
2020-07-12 22:00:00,ASFS30UCB3,0.94116,81.52335,-0.0815218108915673,-0.0552040630880131,0.098454528755491,-1471.3151418462176,-3.063999891281128,1.1440000534057615,661037.9517492263,-639670.1552307038,-66.09726262732875,-120.64465934876353,-116.94776197155912,75.8061816643854,50.85049934423037,-196.45084101314893,0.039070879846154837,-0.030014520087252843
2020-07-12 23:00:00,ASFS30UCB3,0.92196,81.52163,-0.0862652864690294,-0.0474916324640484,0.0984741326627656,-1461.7442028499725,-2.5209999084472656,1.5219999551773071,660958.1178901948,-640021.9318154136,-110.78724147635512,-266.74913737212773,21.16595345266572,-73.21602745469085,-131.95319492902084,-193.5331099174369,0.033209687710926,-0.04776819790207705
